"question","category","place","status","summary","about","tags","closes_at","option_a","option_a_blurb","option_b","option_b_blurb","option_c","option_c_blurb","option_d","option_d_blurb"
"Popcorn or samosa?","entertainment","india","Ongoing","The oldest argument at the counter, and nobody has ever changed sides.","Cinema counters carry both, at prices that bear little relation to the world outside. This one is settled entirely on taste.","cinema-food;popcorn;samosa","","Popcorn","It is the cinema snack. Salt, butter, one hand in the tub for two hours.","Samosa","Actual food, actually filling, and it does not go soggy in ten minutes.","Nachos","The cheese comes in its own tub. That is the whole argument.","Nothing","Three hundred rupees for corn is where a reasonable person stops."
"Who ruins a film more?","entertainment","india","Ongoing","Everyone has sat next to one of them. The disagreement is which is worst.","Cinema etiquette has no referee, and every audience contains at least one of these. Pick the one that would make you move seats.","cinema-etiquette;moviegoing;audience","","The phone screen","A bright rectangle two rows down, for the entire second half.","The plot explainer","Narrating what just happened, to somebody who also just watched it.","The late arrival","Standing in the aisle, checking seat numbers, during the best scene.","The loud reactor","Every twist gets a running commentary at full volume."
"Which franchise has aged best?","entertainment","india","Ongoing","Four of the biggest Indian franchises of the last decade, judged now rather than on opening weekend.","Each of these changed what a mainstream Indian film could look like. Which of them still holds up on a rewatch is a different question from which made the most noise at the time.","franchises;baahubali;kgf","","Baahubali","It built the template everything since has borrowed from.","KGF","Style, scale and a sense of momentum that carried two films.","Pushpa","A character big enough to survive the film around it.","Dhoom","Four films, and still the one people quote the soundtrack from."
"Should the interval stay?","entertainment","india","Ongoing","A break in the middle is standard in Indian cinemas and almost nowhere else.","The interval sells food, gives audiences a breather and gives writers a natural mid-point to build towards. It also cuts a carefully paced film in half, sometimes at a moment the director did not choose.","interval;cinema;film-format","","Keep it","It is part of how Indian films are written and how the evening works.","Cut it","A film should run the way it was edited, without a fifteen-minute hole in it.","Let the film decide","Some films are built for a break. Others are not. The maker should choose.","",""
"Re-release or first watch at home?","entertainment","india","Ongoing","A favourite film returns to cinemas. It is already on streaming, in your house, for free.","Re-releases sell the big screen and the crowd. Home viewing costs nothing extra and does not require booking, travelling or sitting through advertisements.","re-releases;cinema;ott","","Go to the re-release","Some films were made for a hall, and a crowd that already loves them.","Watch it at home","It is the same film, and the sofa does not charge for parking.","","","",""
"Dubbed or subtitled?","entertainment","india","Ongoing","How you watch a film made in a language you do not speak changes what you get from it.","Dubbing keeps your eyes on the frame. Subtitles keep the performance intact, including the timing and the accent the actor actually used.","dubbing;subtitles;regional-cinema","","Dubbed","Watching, not reading. The visuals are the point and they should stay the point.","Subtitled","Half the performance is in the voice, and a dub replaces it with somebody else's.","","","",""
"Weekly episodes or the whole season at once?","entertainment","india","Ongoing","Release schedule decides whether a show is a shared conversation or a private weekend.","Weekly gives every episode its own week of theories, memes and arguments. All at once lets you finish the story on your own schedule and avoid a month of spoilers.","streaming;web-series;release-format","","Weekly","The wait is the fun. Every episode gets its own moment instead of blurring into the next.","All at once","The story is finished. Let me watch it at the speed I want to.","","","",""
"Cheaper with ads, or costlier without?","entertainment","india","Ongoing","Streaming services now sell the same catalogue at two prices, with advertising as the difference.","Ad-supported tiers make a service reachable on a smaller budget. Ad-free tiers cost more and protect the thing people left television for.","streaming;advertising;subscriptions","","Cheaper with ads","A few breaks are a fair trade for a bill that is half the size.","Costlier without ads","Paying for a service and still watching advertisements is paying twice.","","","",""
"Should AI recreate the voice of a performer who has died?","entertainment","india","Disputed","The technology works. The question is under what permission, if any, it should be used.","Studios have used synthesis to complete unfinished work and to revive well-known voices for new recordings. Families, estates and other performers disagree about whether consent can be given after the fact, and about who should be paid.","artificial-intelligence;personality-rights;music","","Never","A voice belongs to the person who had it. There is no consent available once they are gone.","Only with family consent","The estate should decide, case by case, and be able to refuse.","With a paid licence","Treat it like any other right: negotiable, documented and paid for.","",""
"Cinemas first, or cinemas and streaming together?","entertainment","india","Ongoing","How long a new film stays exclusive to the big screen decides who gets to see it and when.","An exclusive window protects the theatrical business and the event of a release. A same-day streaming release reaches people who cannot easily get to a cinema, and removes the wait.","theatrical-window;ott;film-release","","Cinemas first","The window is what keeps cinemas open, and some films only work in a hall.","Both from day one","Audiences should pick the format. Not everyone lives near a working cinema.","","","",""
"Toxic or Dhurandhar 2 — bigger 2026 moment for Indian cinema?","entertainment","india","Ongoing","Two of the year's biggest Indian releases, put directly against each other. Only one of them gets to be the moment people remember 2026 for.","Both arrived with enormous anticipation and very different ambitions behind them. Scale, buzz and box office all point in different directions depending on which one you ask about, so this is a straight preference rather than a settled fact.","toxic;dhurandhar;indian-cinema","","Toxic","The bigger swing, the longer wait and the one that had the most riding on it.","Dhurandhar 2","It had to follow a first part and land an ending, which is the harder job.","","","",""
"Spider-Man: Brand New Day — better than No Way Home?","entertainment","worldwide","Ongoing","A five-year gap, and the film it has to be measured against is the one everybody already calls the high point.","No Way Home set a bar that any follow-up would be compared to whether or not it wanted the comparison. Whether Brand New Day clears it, falls short of it, or simply does something different is the argument.","spider-man;marvel;sequels","","Yes, better","It does its own thing well enough that the comparison stops mattering.","No Way Home wins","That film had a payoff a decade in the making, and this one was never going to top it.","About equal","Different films doing different jobs. Neither is the clear winner.","",""
