"name","category","place","status","summary","about","tags","publish"
"Cinema snacks and what they cost","entertainment","india","Ongoing","A tub of popcorn and a cold drink can cost more than the ticket that got you in. Cinemas say the counter is what keeps the lights on.","Food and drink sales are a major part of how cinemas earn, since a large share of ticket money goes to distributors. Audiences increasingly compare the counter price with what the same items cost outside, and some have taken the question to court.","cinema;food-pricing;moviegoing","no"
"First-day-first-show culture","entertainment","india","Live","Drums outside the hall, cutouts the size of a bus, whistles from the first frame. To some it is the best part of Indian cinema. To others it is why they book the second week.","FDFS turns a release into a street event, particularly around star-led films in the southern industries. It drives opening-day numbers and belongs to a long tradition of fan clubs, and it also raises real questions about crowd safety and whether anyone can hear the film.","fandom;fdfs;cinema-culture","no"
"Old films returning to cinemas","entertainment","india","Ongoing","Re-releases have become a genuine business, filling halls for films that are already on streaming and already on television.","Restored prints and anniversary runs let audiences see older films the way they were made to be seen, and give cinemas something to programme in a quiet week. Whether this is preservation, nostalgia or a shortage of confident new releases is what people disagree about.","re-releases;cinema;nostalgia","no"
"Spoiler etiquette","entertainment","india","Ongoing","Somebody always posts the twist. The argument is how long the rest of us are owed before that becomes fair game.","Group chats, reaction videos and thumbnails all move faster than most people can get to a cinema. There is no agreed rule about when a plot point stops being a spoiler, and the answer probably differs for a twenty-year-old film and a Friday release.","spoilers;social-media;film-fans","no"
"Bigg Boss and the reality format","entertainment","india","Ongoing","Enormously watched and enormously argued about, in every language it airs in.","The show runs multiple regional versions with large voting audiences and long seasons. Supporters point to unscripted drama and genuine popularity; critics question editing, manufactured conflict and the effect on the people inside the house.","reality-tv;bigg-boss;television","no"
"A. R. Rahman's recent film scores","entertainment","india","Ongoing","Three decades in, every new album gets measured against the ones that made his name.","Rahman continues to score across languages and formats, from mass films to international projects. The debate is whether the recent work stands with the earlier catalogue, or whether the comparison is unfair to any composer with that much history behind them.","music;a-r-rahman;film-scores","no"
"Netflix India's original films","entertainment","india","Ongoing","A steady slate that has produced some genuine hits, some quiet disappointments and a running argument about the average.","Streaming originals do not carry an opening weekend, so they are judged on word of mouth and what the platform chooses to promote. Viewers disagree about whether the commissioning has found a voice or is still spreading itself thin.","netflix;streaming-originals;films","no"
"What Baahubali did to Indian cinema","entertainment","india","Ongoing","It proved a regional film could open everywhere at once. Almost a decade of pan-India releases have followed.","The two-part success changed budgets, dubbing strategy and how films are marketed across languages. Some see a genuine widening of the audience; others argue it pushed every industry towards the same scale of spectacle at the cost of smaller stories.","baahubali;pan-india;film-industry","no"
"AI voice cloning of singers and actors","entertainment","india","Disputed","The technology can now reproduce a recognisable voice convincingly, including voices of performers who are no longer alive.","Studios can use synthesis for dubbing, patch-work and restoration. Performers and estates are asking who grants permission, who is paid, and whether a recognisable voice should be treated as property at all. Indian courts have begun hearing personality-rights claims on related questions.","artificial-intelligence;personality-rights;music","no"
"Screen space for regional-language films","entertainment","india","Ongoing","A film can open to good reviews and still lose its evening shows by Monday.","Exhibitors allocate screens by expected demand and contract terms, which tends to favour large releases. Smaller and regional films argue that without a few days of decent showtimes, word of mouth never gets the chance to work.","regional-cinema;distribution;exhibition","no"
"Outer Banks' final season","entertainment","worldwide","Upcoming","The Pogues' last ride arrives on Netflix. The question is whether the show knew when to stop, or whether it should have ended two seasons ago.","Few long-running teen dramas get to choose their own ending, and this one did. Whether that produced a real conclusion or a stretched-out victory lap is the argument — along with whether the character arcs earned the landings they were given.","outer-banks;netflix;series-finale","no"
"Coyote vs. Acme finally gets a release","entertainment","worldwide","Upcoming","Finished, shelved by Warner Bros., kept alive by public backlash, then bought by another distributor and given a date. Vindication for the fans, or a warning about how studios treat completed films?","The film was written off rather than released, a practice that drew unusual public attention because the film already existed. It was later acquired by Ketchup Entertainment, reported at around fifty million dollars, and given a cinema release. The argument now runs on two tracks: whether the film itself is any good, and what the episode says about shelving finished work as a tax measure.","coyote-vs-acme;warner-bros;film-distribution","no"
"Is the box office actually back?","entertainment","worldwide","Ongoing","Five films have crossed a billion dollars this year. Genuine theatrical recovery, or three franchises holding up an industry that is still shrinking underneath them?","Headline totals and the health of cinemas are not the same measurement. A small number of very large films can lift a year's figures while the number of releases, the mid-budget slate and admissions all keep falling. Higher ticket prices also flatter revenue without adding a single seat.","box-office;theatrical;cinema-industry","no"
"Marvel's next decade","entertainment","worldwide","Announced","D23 brought the X-Men casting, Avengers: Doomsday footage, a third Black Panther and a Ghost Rider film. A bold slate, or throwing everything at the wall?","A large simultaneous announcement can read as confidence or as a studio trying to rebuild attention after an uneven run. The casting choices, the sheer size of the slate and whether audiences are still following the connected story are three separate questions, and people answer them differently.","marvel;mcu;x-men","no"
"Political messaging in big-budget films","entertainment","india","Disputed","Films with heavy nationalist framing have done very well at the box office. Well-made cinema that happens to have a viewpoint, or manipulation with a marketing budget behind it?","Popular cinema has always carried politics, and a film having a position is not by itself a criticism of it. The disagreement is about degree, about whether certification is applied evenly to films with different viewpoints, and about whether a strong message helps or gets in the way of the filmmaking around it.","political-cinema;certification;box-office","no"
