"topic","aspect","prompt","positive","neutral","negative"
"Outer Banks' final season","Ending","Did the finale land?","Satisfying","Rushed","Ruined it"
"Outer Banks' final season","Character arcs","Where did the characters end up?","Earned","Mixed","Wasted"
"Outer Banks' final season","Rewatch","Would you go back and watch it from season one?","Yes","Maybe","No"
"Coyote vs. Acme finally gets a release","The film itself","Setting the story aside, how is the film?","Great","Fine","Not worth the drama"
"Coyote vs. Acme finally gets a release","Shelving finished films","What should studios be allowed to do with a film they have already made?","Business as usual","It is complicated","Should not be allowed"
"Coyote vs. Acme finally gets a release","Fan pressure","Did the public backlash actually change the outcome?","Absolutely","Partly","It was luck"
"Is the box office actually back?","Health of cinemas","Where are theatres really, right now?","Recovered","Fragile","Still declining"
"Is the box office actually back?","What is driving it","What is behind this year's numbers?","Better films","Bigger franchises","Higher ticket prices"
"Is the box office actually back?","Your own habit","Are you going to the cinema more than last year?","More","About the same","Less"
"Marvel's next decade","The X-Men casting","How do the casting choices look to you?","Exciting","Reserving judgment","Wrong choices"
"Marvel's next decade","Size of the slate","Is this many films the right call?","Ambitious","Too much","Looks like panic"
"Marvel's next decade","Still following it","Are you still invested in the connected story?","Fully","Selectively","Checked out"
"Political messaging in big-budget films","Craft","Judged purely as filmmaking, how good are they?","Great regardless","The message overshadows it","Just propaganda"
"Political messaging in big-budget films","Certification","Is certification applied evenly across viewpoints?","Not an issue","Overstated","A real problem"
"Political messaging in big-budget films","Your enjoyment","Does the politics change how much you enjoy the film?","Not at all","A little","A lot"
